20250915-18:58:40.821844837 Z boy {A:} 13=2|17=me|40=6|21=1|12=0.11292|15=hello|14=10646|52=20250915T18:09:09.132975084|6=what|151=0.6606
20250915-05:44:01.136935757 D boy {A:} 11=hello|40=A|17=boy|35=Z|150=5|12=0.14933|18=R|15=hello|31=1.9932|1=boy
20250915-06:41:05.029461853 E joe {A:} 14=12301|38=1.6631|8=me|18=T|60=20250915T04:33:51.470744540|6=hello|17=boy|19=what|15=joe|59=3
20250915-01:11:31.647229238 C ok {A:} 150=8|59=4|40=D|15=boy|5=R|38=0.4236|60=20250915T08:39:11.569945368|17=what|6=boy|21=3
20250915-17:06:46.250372898 C joe {A:} 21=3|151=0.6201|19=what|150=A|14=2455|5=R|59=3|32=0.006281|31=2.1826|6=hello
20250915-08:08:50.208852782 E what {A:} 17=me|15=boy|35=g|1=joe|31=0.1964|12=0.01642|14=24858|8=boy|5=N|19=boy
20250915-22:31:51.126547397 C what {A:} 20=0|11=joe|17=boy|151=1.7528|60=20250915T15:14:44.168999896|150=7|15=hello|14=10589|6=what|52=20250915T03:47:44.279758274
20250915-21:47:49.469102660 C joe {A:} 12=0.01986|40=7|1=what|35=g|17=what|19=joe|60=20250915T14:05:15.865716353|5=C|13=2|49=joe
20250915-05:27:56.847217964 Z me {B:} 52=20250915T09:47:58.280846395|18=B|35=k|11=boy|1=me|21=3|12=0.07258|6=what|49=joe|31=1.1599
20250915-03:02:02.781269413 E boy {B:} 35=l|40=C|49=hello|15=boy|151=2.34|150=8|13=1|1=me|12=0.08657|52=20250915T03:34:24.493262945
20250915-11:47:25.768489147 C joe {B:} 60=20250915T07:25:17.310038562|40=7|6=joe|12=0.17535|59=3|5=N|11=joe|38=1.8678|1=joe|151=0.6548
20250915-03:31:54.192135654 D joe {A:} 20=0|11=boy|8=what|5=R|60=20250915T03:44:40.835733729|32=0.005078|19=hello|151=2.4093|52=20250915T09:20:23.301784253|6=joe
20250915-00:36:21.055718840 Z what {B:} 13=1|35=a|40=8|32=0.001574|59=5|49=what|38=2.1912|18=9|5=C|14=16937
20250915-13:41:22.329763014 Z hello {B:} 21=3|150=7|151=1.7766|19=boy|40=P|12=0.13137|17=me|8=me|35=0|14=13602
20250915-10:35:08.985549105 D me {B:} 31=0.2304|52=20250915T20:27:41.586068141|8=boy|21=3|6=what|60=20250915T18:14:44.939971782|32=0.007189|18=N|59=6|15=hello
20250915-01:17:39.006312975 E ok {B:} 18=P|31=1.0118|151=0.7994|8=what|19=joe|38=1.845|1=what|14=6767|6=boy|40=2
20250915-20:12:27.024001553 Z hello {B:} 49=boy|18=R|35=Y|19=boy|15=hello|38=0.28|13=2|1=joe|12=0.10763|11=joe
20250915-14:27:24.743725471 Z ok {B:} 40=B|15=me|35=j|14=2367|11=joe|19=joe|18=I|32=0.005275|17=me|38=1.8562
20250915-05:23:07.972674711 E ok {A:} 20=3|21=2|14=20631|19=joe|5=C|32=0.022165|31=2.364|59=1|150=D|1=ok
20250915-08:20:49.834372309 Z me {B:} 60=20250915T00:35:54.681054983|13=2|20=3|40=2|32=0.0076|21=2|49=ok|150=8|38=2.1165|31=0.3389
20250915-10:49:54.844343010 C ok {A:} 11=hello|20=1|5=C|19=boy|13=3|21=2|35=Y|1=ok|14=14606|6=joe
20250915-11:29:32.196386560 C joe {A:} 60=20250915T18:22:22.085470485|150=D|18=C|19=ok|1=me|11=me|12=0.07161|5=R|40=3|59=0
20250915-10:35:07.616972386 Z boy {A:} 14=15623|13=2|59=1|151=2.4263|5=N|52=20250915T15:29:38.410480330|49=what|8=me|11=what|19=joe
20250915-15:20:29.890257764 C hello {B:} 18=L|150=5|52=20250915T08:01:26.154893096|49=what|40=B|31=2.2515|5=N|20=1|17=boy|151=0.5754
20250915-22:53:39.781678960 E what {B:} 40=6|49=ok|60=20250915T05:32:03.135196531|35=j|17=me|12=0.04997|32=0.003632|14=8357|13=1|18=3
20250915-00:28:12.605029400 Z joe {B:} 150=3|11=ok|6=joe|40=6|52=20250915T11:13:17.112022006|20=3|35=H|13=1|19=what|60=20250915T18:06:55.233419252
20250915-13:05:10.353736983 D boy {B:} 12=0.03451|15=me|21=3|19=boy|60=20250915T10:58:36.256039744|14=11450|151=1.7553|150=9|31=1.177|20=1
20250915-12:16:11.138529348 D ok {A:} 12=0.24709|49=what|59=4|40=G|11=hello|18=O|17=me|14=1247|20=3|150=3
20250915-06:45:51.550481336 E hello {B:} 32=0.022661|60=20250915T13:54:30.846500086|150=2|6=what|15=joe|35=K|1=what|31=1.1999|19=hello|151=0.817
20250915-21:27:26.489659676 Z what {B:} 59=6|19=joe|60=20250915T06:10:06.679301100|20=3|18=D|31=1.9036|6=me|5=R|1=joe|38=1.8703
20250915-15:00:08.779987732 E ok {A:} 38=2.0158|1=ok|49=boy|15=joe|13=1|35=R|12=0.06004|17=ok|8=hello|21=3
20250915-03:59:24.983603626 E me {A:} 20=0|19=joe|60=20250915T18:00:28.000783106|150=7|17=boy|21=2|52=20250915T08:55:03.152107148|18=O|32=0.001011|35=4
20250915-17:59:43.408066633 C boy {A:} 14=15558|13=2|12=0.20826|11=boy|18=V|15=joe|38=1.6911|1=me|40=G|35=d
20250915-17:13:59.267780948 D what {B:} 14=14931|21=3|1=ok|11=boy|6=what|12=0.14659|38=1.546|52=20250915T11:35:10.068695757|13=1|40=P
20250915-19:47:39.100877584 Z what {B:} 5=C|49=boy|59=0|11=me|18=3|19=joe|14=7933|13=2|1=me|21=3
